Date,Original,EW,GMV,MSR
2012-05-09,1077.9854365708727,1080.4040934306029,1088.5322259601976,1169.006959227573
2012-05-10,1080.1531234435638,1084.8511879210794,1091.4361612649727,1168.5870268893198
2012-05-11,1083.1347271099735,1087.5780913512765,1093.7308423894565,1172.2268728239246
2012-05-14,1062.517380193272,1067.8352136861026,1081.0037184188795,1148.8791207047816
2012-05-15,1059.6653943714327,1059.7834389707996,1077.6148204392982,1144.7690486783242
2012-05-16,1062.196007955919,1061.7724131306893,1079.2719871601391,1135.7476840839106
2012-05-17,1045.1606991373415,1045.8680872066375,1067.7185191691678,1120.8732204015218
2012-05-18,1028.0572854320853,1029.4544947339464,1057.4019577024962,1106.464980776162
2012-05-21,1047.4478694719824,1043.9943163897185,1062.5880572789574,1126.4442837495258
2012-05-22,1044.7993839061028,1046.6970212499973,1068.8293414084094,1126.9649789511693
2012-05-23,1036.6457306607233,1033.3726011263007,1050.3093605481072,1115.853507455342
2012-05-24,1038.367029759193,1037.7776328449197,1059.6870626743994,1117.0311752414223
2012-05-25,1040.1662587915764,1037.6208894296335,1061.8659961052374,1116.1868850741307
2012-05-29,1051.8940498627715,1055.3042265707354,1070.0167226442472,1130.773327091539
2012-05-30,1039.3732085416839,1039.4240750173133,1057.61772594339,1127.4849630508606
2012-05-31,1031.9951200171938,1032.4626288746958,1056.2295184513625,1122.2256924773894
2012-06-01,1007.1690381086469,1006.7090324034549,1043.7294236903747,1094.3674097464227
2012-06-06,1040.711329825627,1041.5878977967889,1065.25930678405,1131.3716427693237
2012-06-07,1039.917081389071,1049.7324316863628,1073.8434269744441,1142.2792575575359
2012-06-08,1045.3901006207918,1051.6017123327601,1078.325198975346,1153.3060937000669
2012-06-11,1031.6573132126127,1041.7455826328035,1074.0010597028622,1136.8167080230999
2012-06-12,1036.782669210297,1049.189614646791,1081.3858865006423,1139.5391105515598
2012-06-13,1030.159067914211,1042.595204249798,1081.5102866886004,1135.866746520586
2012-06-14,1033.3119741543435,1047.6607005274277,1090.3527004807916,1144.6348000244243
2012-06-15,1038.828560512896,1055.8645517675402,1088.8081801374906,1154.9903624876001
2012-06-18,1048.5781462792352,1063.9021458378068,1091.9722301090712,1158.5563401546758
2012-06-19,1065.2157004435157,1080.2487560412335,1105.788203657112,1179.6921466906988
2012-06-20,1066.4298272726005,1085.3704093648964,1107.8867006771948,1184.9617004362274
2012-06-21,1044.1808138243482,1065.735048564583,1101.5929843589984,1165.5894056222273
2012-06-22,1046.9175365738947,1064.156707375607,1101.9829954634897,1178.8856049561082
2012-06-25,1026.3292955384086,1045.0671820705281,1091.6559191010112,1154.6583198255073
2012-06-26,1032.1417119148373,1047.5754626748699,1093.9528119077584,1163.969527574633
2012-06-27,1039.0339517534815,1055.4346810598352,1100.9513442225893,1168.1619222151116
2012-06-28,1034.5891106297872,1050.7479950594973,1095.7990626965736,1165.2718154249
2012-06-29,1055.6676488946882,1078.1383366586795,1109.6808153755478,1184.9472630006221
2012-07-02,1059.9824755481332,1085.1347193176728,1118.3247134482815,1194.0691343157187
2012-07-03,1067.6287449636702,1093.9838708612679,1122.1615091607387,1201.3895043846717
2012-07-06,1055.4423052363245,1081.667949036771,1118.5552486168876,1189.1643899942599
2012-07-09,1055.4860013199316,1078.5215776899279,1119.064012451555,1190.1692146204193
2012-07-10,1050.9485420883848,1075.785748349608,1112.3553632592827,1183.6319220899352
2012-07-11,1043.0477078542744,1069.537101256549,1114.4937320774557,1172.9033351195892
2012-07-12,1033.769456277798,1062.398339997337,1107.4490599834996,1154.4319949367432
2012-07-13,1047.2342056045654,1076.6359075509351,1117.1283284810936,1175.8215496040991
2012-07-16,1045.1596640387675,1074.0588713152956,1119.0311032704199,1178.9938302332018
2012-07-17,1047.5645535533608,1075.6374803870856,1119.7691268241763,1183.5959951914535
2012-07-18,1056.6144717979384,1083.872771647595,1127.665277760807,1196.8583952961917
2012-07-19,1068.6537772771228,1096.2851970172896,1135.1007230620116,1204.9929812687467
2012-07-20,1058.1341586898452,1086.060776421504,1127.6382491704858,1186.030807184658
2012-07-23,1045.801294095362,1068.7865187615273,1115.9105500016076,1166.4568825890083
2012-07-24,1037.4636084136798,1059.0554458274896,1106.5337478899892,1159.7484845456959
2012-07-25,1035.3902181841281,1058.2533153664967,1102.7720358777603,1145.1602974201244
2012-07-26,1048.9804424425329,1070.6392488679548,1110.1161914358156,1157.2437409435345
2012-07-27,1063.8105323924017,1084.6073849325724,1120.1610585925139,1172.04674490542
2012-07-30,1063.7870130794727,1087.0964685816507,1126.466218259382,1173.50243172424
2012-07-31,1063.37387129631,1086.6276264900177,1125.5863563993498,1176.970917868523
2012-08-01,1064.6319626036832,1093.2152381678839,1136.054039614922,1171.356337175019
2012-08-02,1056.358790213793,1083.7731965052078,1128.9843893946374,1164.507098957136
2012-08-03,1079.5194229973456,1110.2146734530222,1149.279494356375,1183.909956308981
2012-08-06,1081.8405498460456,1113.6498088600936,1151.8253630127806,1191.686439074817
2012-08-07,1092.469553705276,1124.1295026106454,1149.1677994238046,1198.9786505158359
2012-08-08,1095.5841575151237,1126.7458445749862,1152.6775112293399,1201.5605020762237
2012-08-09,1102.2527409967659,1133.4598966725775,1152.1904815337427,1211.5173052376454
2012-08-10,1105.5364904445014,1135.8127331135017,1152.649541280849,1213.223726738521
2012-08-13,1106.6092237703767,1134.9424760006204,1151.2332999213158,1214.6867711593322
2012-08-14,1107.8354227384878,1137.0550834527353,1156.759924699215,1216.976938519868
2012-08-15,1110.0481964312041,1138.4676938316506,1155.858616741545,1220.9134011249907
2012-08-16,1117.0362827335434,1139.2047308677384,1152.6078144657422,1223.0521400602092
